Continente,Gran Región / Subcontinente,Región Específica / Área Cultural,Cultura / Sociedad,Cronología Aprox. (10k aC - 750 dC),Subsistencia Principal,Patrón Asentamiento,Arquitectura Notable,Tecnologías Clave,Evidencia Jerarquía Social,Redes Intercambio (Alcance),Sistemas Registro / Escritura,
Europa,Europa Meridional (Mediterránea),Península Ibérica,Edad Bronce: Bronce Atlántico / Cultura Estelas,ca. 1800 - 700 a.C. (Estelas ~1200-900),"Ganadería, Metalurgia Bronce, Comercio Atlántico","Poblados abiertos/fortificados?, Depósitos metálicos","Estelas de Guerrero (armas, carros)","Bronce avanzado (espadas, calderos), Orfebrería",Élites guerreras (Estelas),Amplio (Atlántico),[No Evidencia Clara],
Europa,Europa Meridional (Mediterránea),Península Ibérica,Tartessos [KI],ca. 800 - 550 a.C.,"Minería (Plata), Metalurgia, Comercio, Ganadería","¿Centros urbanos?, Santuarios, Necrópolis","Ricos ajuares funerarios (oro), ¿Arquitectura?","Escritura tartésica (SO), Bronces orientalizantes","¿Monarquía?, Aristocracia","Fenicia, Grecia",Escritura Paleohispánica (Tartésica),
Europa,Europa Meridional (Mediterránea),Península Ibérica,Cultura Ibérica,ca. s. VI - I a.C.,"Agricultura (Tríada Med.), Artesanía (Cerámica), Comercio",Oppida (ciudades fortificadas),"Murallas, Urbanismo, Santuarios, Escultura (Dama Elche)","Hierro, Torno alfarero, Escritura Ibérica, Moneda",Jefaturas/Principados,"Fenicia, Grecia, Roma",Escritura Paleohispánica (Ibérica),
Europa,Europa Meridional (Mediterránea),Península Ibérica,Colonización Fenicia / Griega,desde ca. 800/600 a.C.,"Comercio (Metales, Salazones), Artesanía","Colonias costeras (Gadir, Emporion)","¿Templos?, ¿Puertos?","Navegación, Alfabeto, Moneda (Griega)",Dependiente de Metrópolis,Amplio Mediterráneo,Alfabeto Fenicio / Griego,
Europa,Europa Meridional (Mediterránea),Península Ibérica,Hispania Romana / Reino Visigodo [KI],ca. 218 a.C. - 711 d.C.,"Agricultura latifundista, Minería -> Economía ruralizada","Provincias (Tarrac., Baetica, Lusit.), Ciudades, Villas",Urbanismo romano -> Iglesias Visigodas,"Latín, Derecho Romano -> Leyes Visigodas",Integrado en Imp. Romano -> Reino Germánico,Dentro del Imp. Romano / Europa,Latín,
Europa,Europa Meridional (Mediterránea),Península Itálica,"Neolítico Itálico (Impresa, Stentinello)",ca. 6000 - 3500 a.C.,"Agricultura, Ganadería, Caza-Pesca-Rec.","Aldeas (ej. Tavoliere), Cuevas",,"Cerámica Impresa/Cardial, Piedra Pulida, Obsidiana",?,Mediterráneo,[No Evidencia],
Europa,Europa Meridional (Mediterránea),Península Itálica,"Calcolítico Itálico (Remedello, Gaudo, etc.) [KI]",ca. 3500 - 2200 a.C.,"Agricultura, Ganadería, Metalurgia Cobre","Aldeas, ¿Enterramientos colectivos?","Tumbas, ¿Estatuas-menhir?",Metalurgia Cobre/Arsénico,"¿Guerreros?, ¿Élites?",Regional / Transalpino?,¿Símbolos?,
Europa,Europa Meridional (Mediterránea),Península Itálica,Edad Bronce: Cultura Apenínica,ca. s. XV - XII a.C.,"Pastoralismo trashumante (Bovino), Agricultura","Aldeas defensibles, Cuevas, Campamentos temporales","Cabañas (ej. La Starza), ¿Fortificaciones?","Cerámica bruñida incisa, Bronce",¿Jefaturas?,Regional (Italia Central/Sur),[No Evidencia],
Europa,Europa Meridional (Mediterránea),Península Itálica,Edad Bronce: Cultura Terramare [KI],ca. 1700 - 1150 a.C.,"Agricultura intensiva, Ganadería",Aldeas planificadas rodeadas fosos/terraplenes (Valle Po),"¿Viviendas sobre pilotes?, Defensas","Bronce avanzado, ¿Rueda?",Sociedades organizadas,¿Alpes?,[No Evidencia],
Europa,Europa Meridional (Mediterránea),Península Itálica,Cultura Villanova / Civilización Etrusca,ca. 900 - s. I a.C. (Etruscos),"Agricultura, Metalurgia (Hierro), Comercio Marítimo",Proto-urbano -> Ciudades-Estado (Etruscas),"Necrópolis monumentales (Túmulos, Hipogeos), Templos (Origen Anatolio debatido)","Hierro, Alfabeto Etrusco (~s.VII aC), Bucchero","Aristocracia (Etruscos), Reyes?","Grecia, Fenicia/Cartago",Alfabeto Etrusco,
Europa,Europa Meridional (Mediterránea),Península Itálica,Magna Grecia (Colonias Griegas),ca. s. VIII - III a.C.,"Agricultura, Comercio, Artesanía","Ciudades (Polis: Siracusa, Tarento, Paestum, etc.)","Templos dóricos, Teatros, Murallas","Filosofía, Arte, Ciencia Griega, Moneda, Alfabeto Griego","Variada (Tiranías, Oligarquías)","Mundo Griego, Italia local",Alfabeto Griego,
Europa,Europa Meridional (Mediterránea),Península Itálica,Roma (Monarquía -> República -> Imperio) [KI],ca. 753 a.C. - 476 d.C.,"Agricultura, Conquista militar, Comercio, Administración",Ciudad -> Imperio Territorial,"Urbanismo monumental, Ingeniería civil","Derecho Romano, Ejército, Latín, Hormigón",Compleja (República -> Imperio),"Vasto (Mediterráneo, Europa)",Alfabeto Latino,
Europa,Europa Meridional (Mediterránea),Península Itálica,Reino Ostrogodo [KI] / Reino Lombardo,493 - 774 d.C.,"Base agrícola tardorromana, Guerra","Ocupación ciudades (Rávena / Pavía), Ducados (Spoleto, Benevento)","Arquitectura religiosa, Fortificaciones","Derecho Germánico (Edicto Rotario), Metalurgia",Monarquías Germánicas,"Bizancio, Reino Franco","Latín (adm.), ¿Gótico?, ¿Lombardo?",
Europa,Europa Occidental,Galia / Francia actual,"Culturas Mesolíticas/Neolíticas (LBK, Cardial, Chasseen, SOM) [+ R5]",ca. 8000 - 2500 a.C.,Caza-Rec. -> Agricultura/Ganadería,"Campamentos -> Aldeas, Recintos, Megalitos (Carnac ~4500 aC+)","Megalitos (Alineamientos, Túmulos Carnac), Tumbas Galería (SOM)","Cerámica, Piedra Pulida, Construcción Megalítica",Élites (Túmulos Carnac),Regional / Amplio (Jade Alpino?),[No Evidencia Clara],
Europa,Europa Occidental,Galia / Francia actual,Fenómeno del Vaso Campaniforme (Bell Beaker),ca. 2800 - 1900 a.C.,"¿Mixta?, Metalurgia Cobre/Oro","¿Asentamientos dispersos?, Entierros individuales",Tumbas con ajuar característico,"Metalurgia (Cu, Au, As-Bz), Arquería, Cerámica Campaniforme",¿Élites emergentes?,Amplio (Toda Europa Occ.),[No Evidencia],
Europa,Europa Occidental,Galia / Francia actual,"Edad Bronce (ej. Túmulos Armoricanos, Bronce Atlántico)",ca. 2200 - 800 a.C.,"Agricultura, Ganadería, Metalurgia Bronce, Comercio","Aldeas, ¿Poblados fortificados?, Túmulos (Armorica)",Túmulos ricos (Armorica),"Bronce avanzado (hachas, espadas), ¿Explotación Estaño (Armorica)?",Élites aristocráticas,"Amplio (Atlántico, Islas Brit.)",[No Evidencia],
Europa,Europa Occidental,Galia / Francia actual,Edad Hierro (Celtas Gálatas - Hallstatt/La Tène),ca. 800 - 50 a.C.,"Agricultura, Ganadería, Guerra, Comercio","Oppida (centros fortificados), Aldeas, Santuarios","Murallas (Murus Gallicus), 'Palacios' (Vix)","Hierro, Torno alfarero, Moneda celta, Arte La Tène","Élites guerreras, Druidas","Amplio (Grecia, Roma, C. Europa)",¿Alfabeto Griego/Latino adaptado?,
Europa,Europa Occidental,Galia / Francia actual,Galia Romana [+ R5],ca. 50 a.C. - 486 d.C.,"Agricultura (Villas), Artesanía, Comercio","Provincias, Ciudades (Lyon, Lutecia), Villas, Vici","Urbanismo romano, Villas lujosas, Acueductos (Pont du Gard)","Latín, Derecho Romano, Red viaria, Romanización","Administración Romana, Élites Galo-Romanas",Integrado en Imperio Romano,Latín,
Europa,Europa Occidental,Galia / Francia actual,Reino Franco (Merovingios) [+ R5],ca. 486 - 751 d.C.,Base agrícola galo-romana,"Reinos, Ciudades (sedes obispales), ¿Villas?, Cementerios","Iglesias tempranas, Tumbas élite (Childerico) [KI]","¿Leyes Sálica?, Metalurgia germánica (armas)","Monarquía, Aristocracia Franco-Gala, Iglesia",Europa Occidental,Latín (adm./ecles.),
Europa,Europa Occidental,"Islas Británicas (GB, Irlanda)",Culturas Neolíticas [+ R5],ca. 4000 - 2500 a.C.,Agricultura/Ganadería temprana,"Aldeas (Skara Brae), Recintos Dique Interrumpido (Windmill Hill), Paisajes rituales","Monumentos Megalíticos (Stonehenge, Newgrange), Recintos","Cerámica (Mildenhall?), Piedra Pulida, Construcción Megalítica",¿Organización supra-local?,Continental (Llegada Neolítico),[No Evidencia Clara],
Europa,Europa Occidental,"Islas Británicas (GB, Irlanda)",Vaso Campaniforme / Edad Bronce Temprana (ej. Wessex),ca. 2500 - 1500 a.C.,"Agricultura, Ganadería, Metalurgia Temprana","¿Asentamientos dispersos?, Túmulos redondos","Stonehenge (fase sarsen), Túmulos ricos (Wessex)","Metalurgia (Cobre, Oro), Arquería, Cerámica Campaniforme",Élites (Amesbury Archer),Continental (Beaker Network),[No Evidencia],
Europa,Europa Occidental,"Islas Británicas (GB, Irlanda)",Edad Bronce Media/Tardía [KI],ca. 1500 - 800 a.C.,"Agricultura (campos delimitados), Ganadería, Metalurgia","Casas circulares, Aldeas, ¿Fortificaciones?","Campos Fósiles (""Celtic Fields""), Depósitos metálicos","Bronce avanzado (armas, herramientas, calderos)",¿Jefaturas?,"Amplio (Atlántico, Continental)",[No Evidencia],
Europa,Europa Occidental,"Islas Británicas (GB, Irlanda)",Edad Hierro (Celtas Britanos/Irlandeses),ca. 800 a.C. - Conq. Rom. / ~s.V d.C,"Agricultura, Ganadería, Guerra","Hillforts (castros), Brochs (Escocia), Crannogs","Murallas (Hillforts), Casas circulares, Santuarios","Hierro, Arte La Tène","Sociedades Tribales, Jefaturas, Pequeños Reinos (Irlanda)",Continental (Galia),"Ogham (Irlanda, tardío)",
Europa,Europa Occidental,"Islas Británicas (GB, Irlanda)",Britania Romana [+ R5],43 - ca. 410 d.C.,"Agricultura (Villas), Minería, Comercio","Provincias, Ciudades (Londinium), Villas, Muro Adriano","Urbanismo romano, Villas lujosas (mosaicos, baños), Fuertes, Muro Adriano","Latín, Red viaria, Economía monetaria","Administración Romana, Élites Romano-Británicas",Integrado en Imperio Romano,Latín,
Europa,Europa Occidental,"Islas Británicas (GB, Irlanda)",Reinos Anglosajones Tempranos / Irlanda Gaélica,ca. 410 - 750+ d.C.,"Agricultura, Ganadería, Comercio/Saqueo","Reinos/Territorios tribales, Centros regios (Rendlesham?), Monasterios","Tumbas élite (Sutton Hoo), Iglesias/Monasterios","Metalurgia (joyas), Arte insular, ¿Runas (AS)?","Reyes, Aristocracia guerrera, Iglesia","Escandinavia, Francia Franca","Runas (AS), Ogham -> Latín (Irl)",
Europa,Europa Occidental,Región del Benelux,"Culturas Neolíticas (LBK, TRB, Vlaardingen) [+ R5]",ca. 5300 - 2000 a.C.,"Caza-Rec. -> Agricultura (LBK), Ganadería","Aldeas (LBK: casas largas), ¿Megalitos (TRB)?","¿Casas largas LBK?, ¿Tumbas megalíticas TRB?","Cerámica (LBK, TRB, etc.), Piedra Pulida",?,"Regional (Francia, Alemania)",[No Evidencia],
Europa,Europa Occidental,Región del Benelux,"Calcolítico / Edad Bronce (Campaniforme, Hilversum) [+ R5]",ca. 2500 - 800 a.C.,"Agricultura (Campos Célticos), Ganadería, ¿Bronce?","Aldeas, ¿Túmulos (Hilversum)?","Túmulos, Campos Célticos (""raatakkers"")","Cerámica (Campaniforme, Hilversum), ¿Bronce?",¿Élites (Túmulos)?,"Regional (GB, Francia, Alemania)",[No Evidencia],
Europa,Europa Occidental,Región del Benelux,Edad Hierro (Celtas/Germánicos) / Dominio Romano / Franco [+ R5],ca. 800 a.C. - 750+ d.C.,"Agricultura, Ganadería, Comercio (Rin)",Tribus -> Limes Romano (Sur Rin) -> Asent. Franco (Taxandria),Oppida? -> Fuertes/Vici Romanos -> ¿Centros Merovingios?,Hierro -> Tecnología Romana -> Influencia Franca,Jefes Tribales -> Admón. Romana/Franca,"Galia, Germania",¿Runas? -> Latín,
Europa,Europa Central,Área Germano-Polaca / Cuenca Danubiana Media,"Culturas Neolíticas Tempranas (LBK, Starčevo-Körös-Criș)",ca. 6000 - 4900 a.C.,"Agricultura temprana (Trigo/Cebada), Ganadería","Aldeas (LBK: casas largas), Tells (Starčevo [KI])",Casas largas LBK,"Cerámica (LBK lineal, Starčevo pintada [KI]), Piedra Pulida",¿Comunitaria?,Amplia (Expansión LBK),[No Evidencia],
Europa,Europa Central,Área Germano-Polaca / Cuenca Danubiana Media,"Culturas Neolítico Medio/Final (TRB, Lengyel, Vinča)",ca. 5000 - 3100 a.C.,"Agricultura, Ganadería, Metalurgia Cobre (Vinča)","Aldeas, Recintos (TRB), Megalitos (TRB)","Megalitos TRB, Figurillas Vinča, ¿Santuarios?","Cerámica (TRB embudo, Vinča), Rueda (TRB), Cobre (Vinča)","Creciente (TRB/Vinča), ¿Élites Varna?",Regional / Interregional,¿Signos Vinča?,
Europa,Europa Central,Área Germano-Polaca / Cuenca Danubiana Media,Cultura Cerámica Cordada / Hachas Combate,ca. 3100 - 2350 a.C.,"¿Pastoralismo?, Agricultura, Movilidad","¿Asentamientos dispersos?, Entierros individuales bajo túmulo",Túmulos,"Cerámica cordada, Hachas de combate (piedra), ¿Carro?, ¿Caballo?",¿Guerreros? ¿Patriarcal?,"Amplia (N/C Europa, ¿Estepas?)",[No Evidencia],
Europa,Europa Central,Área Germano-Polaca / Cuenca Danubiana Media,Edad Bronce: Cultura Únětice,ca. 2300 - 1600 a.C.,"Agricultura, Metalurgia Bronce/Oro, Comercio","Aldeas, ¿Centros fortificados?, Tumbas principescas","Tumbas principescas (Leubingen, Bornhöck)","Bronce (estaño), Orfebrería (oro)",Alta Estratificación,"Amplio (Báltico, Egeo?)",[No Evidencia],
Europa,Europa Central,Área Germano-Polaca / Cuenca Danubiana Media,Edad Bronce: Cultura Túmulos (Hügelgräberkultur),ca. 1600 - 1300 a.C.,"Agricultura, Ganadería, Metalurgia, ¿Movilidad aumentada?","¿Aldeas dispersas?, ¿Menos asentamientos?",Túmulos funerarios individuales,"Bronce, Cerámica gruesa",¿Élites guerreras? (Túmulos),Regional / C. Europa,[No Evidencia],
Europa,Europa Central,Área Germano-Polaca / Cuenca Danubiana Media,Edad Bronce: Cultura Campos de Urnas (Urnfield),ca. 1300 - 800/750 a.C.,"Agricultura, Metalurgia intensiva","Poblados Fortificados en altura, Necrópolis","Fortificaciones, Campos de Urnas","Bronce final (espadas hoja, corazas), Cremación",¿Élites locales? (Fortif.),Amplia (Expansión cultural),[No Evidencia],
Europa,Europa Central,Área Germano-Polaca / Cuenca Danubiana Media,Cultura Hallstatt (Hierro Temprano),ca. 800 - 450 a.C.,"Agricultura, Ganadería, Minería (sal), Metalurgia","Centros fortificados (Heuneburg), Aldeas, Tumbas principescas","Tumbas ricas (carro), ¿Murallas tipo griego?","Hierro (espadas Ha C, puñales Ha D), Sal, Torno?",Élites claras (Tumbas principescas),Amplio (Mediterráneo),[No Evidencia],
Europa,Europa Central,Área Germano-Polaca,Cultura La Tène (Hierro Tardío - Celtas),ca. 450 - 50 a.C.,"Agricultura, Ganadería, Guerra, Artesanía, Comercio","Oppida (grandes centros fortificados), Aldeas, Santuarios","Murallas (murus gallicus), ¿Santuarios?","Hierro avanzado, Arte La Tène (metal, vidrio), Moneda Celta","Aristocracia guerrera, Druidas","Amplio (Roma, Grecia, Galia)",¿Alfabetos adaptados?,
Europa,Europa Central,Área Germano-Polaca,Pueblos Germánicos (Cultura Jastorf -> Hierro Romano),ca. 600 a.C. - 400 d.C.,"Agricultura, Ganadería",Aldeas dispersas -> ¿Mayor complejidad?,"¿Casas largas?, Campos de urnas (Jastorf)","Hierro, Cerámica (Jastorf), ¿Runas tempranas?",¿Jefaturas tribales?,Regional -> Interacción Roma,¿Runas?,
Europa,Europa Central,Región Alpina,Culturas de Palafitos (Neolítico-Bronce),ca. 5000 - 500 a.C.,"Agricultura, Ganadería, Caza-Rec., Pesca",Aldeas lacustres sobre pilotes,Palafitos (viviendas madera),"Madera, Textiles, Cerámica, ¿Bronce? (Preserv. orgánica)",¿Comunitaria?,Regional (Alpes y prealpes),[No Evidencia],
Europa,Europa Central,Región Alpina / Cuenca Danubiana Media,"Provincias Romanas (Raetia, Noricum, Pannonia)",ca. 15 a.C. - s. V d.C.,"Agricultura, Minería, Comercio, Guarniciones militares","Ciudades (Carnuntum, Aquincum), Villas, Vici, Fuertes (Limes)","Urbanismo romano, Anfiteatros, ¿Villas?, Red viaria","Latín, Admón. Romana, Ingeniería",Administración Provincial Romana,Integrado en Imperio Romano,Latín,
Europa,Europa Central,Cuenca Danubiana Media / Panonia,"Pueblos Germánicos (Marcomanos, Cuados) / Sármatas (Yáziges)",ca. s. I a.C. - V d.C.,"Agricultura, Ganadería, Guerra (vs Roma), ¿Comercio?","Aldeas, ¿Centros tribales?",Tumbas ricas?,"Hierro, Caballería",Jefaturas/Reinos tribales (Cuados),Roma (conflicto/alianza),[No Evidencia],
Europa,Europa Central,Cuenca Danubiana Media / Panonia,Hunos [KI] / Ostrogodos / Gépidas / Lombardos [KI],ca. s. V - VI d.C.,"Guerra, Migración, ¿Control población local?",Campamentos -> ¿Reinos efímeros?,Tumbas élite (ajuares),"Caballería pesada (Hunos?), Metalurgia germánica",Líderes militares/Reyes,Amplio (Este a Oeste Europa),[No Evidencia Propia],
Europa,Europa Central,Cuenca Danubiana Media / Panonia,Kaganato Ávaro,ca. 568 - 750+ d.C.,"Dominio militar/político, ¿Tributos?, ¿Pastoralismo?","Centros de poder?, Asentamientos dispersos?, Necrópolis grandes",Tumbas élite (ajuar caballo/armas),"Caballería esteparia (estribo), Metalurgia","Kagan (líder supremo), Élite guerrera","Bizancio, Eslavos, Francos",[No Evidencia Propia],
Europa,Europa Central,Cuenca Danubiana Media / Panonia / Área Germ-Pol,Primeros Pueblos Eslavos (Cultura Praga-Korchak),ca. fines s. V - VII d.C.,"Agricultura (mijo?), Ganadería","Aldeas abiertas cerca ríos, Semi-subterráneas",Viviendas semi-subterráneas,"Cerámica tipo Praga, ¿Hierro local?",¿Sociedad igualitaria/tribal?,Regional (bajo dominio Ávaro?),[No Evidencia],
Europa,Europa Oriental,Llanura Europea Oriental (Bosque),Culturas Neolíticas/Eneolíticas Forestales (ej. Pit-Comb Ware) [KI],ca. 6000 - 3000 a.C.,Caza-Pesca-Recolección,"Campamentos estacionales, ¿Aldeas ribereñas?",Viviendas semi-subterráneas?,"Cerámica (peine/punteado), Lítica, Hueso",Probablemente Egalitaria,Regional,[No Evidencia],
Europa,Europa Oriental,Llanura Europea Oriental (Bosque),Cultura Fatyanovo-Balanovo (Cordada),ca. 2900 - 2050 a.C.,"Ganadería, ¿Agricultura?, Metalurgia (Balanovo)","¿Asentamientos dispersos?, ¿Fortificados (Balanovo)?",Túmulos?,"Cerámica cordada, Hachas combate, Metalurgia Cobre/Bronce (Urales)",¿Guerreros? (Hachas),"Amplia (C. Europa, Urales)",[No Evidencia],
Europa,Europa Oriental,Llanura Europea Oriental (Bosque),"Culturas Edad Bronce Tardía / Hierro Temprana (Dyakovo, Gorodets)",ca. 1000 a.C. - 500 d.C.,"Mixta: Caza-Pesca-Rec., Ganadería, ¿Agricultura?, Metalurgia",Poblados fortificados (Gorodishche),"Empalizadas, Viviendas","Hierro, Bronce (tardío), Hueso trabajado, Cerámica texturada",¿Jefaturas tribales?,Regional / Sur (Escitas?),[No Evidencia],
Europa,Europa Oriental,Llanura Europea Oriental (Bosque/Estepa),"Primeros Pueblos Eslavos (Penkovka, Kolochin?) [KI]",desde ca. 500 d.C.,"Agricultura (mijo?), Ganadería",Aldeas abiertas no fortificadas,Viviendas semi-subterráneas,"Cerámica hecha a mano (tipo Praga/Penkovka), ¿Hierro local?",¿Sociedad igualitaria/tribal?,Regional (Expansión),[No Evidencia],
Europa,Europa Oriental,Región Póntica (Estepa),Culturas Neolíticas/Eneolíticas Esteparias (ej. Sredny Stog) [KI],ca. 6000 - 3500 a.C.,"Ganadería temprana (caballo?), Caza-Rec., ¿Agricultura?","Aldeas?, Campamentos, Kurgánes tempranos",Kurgánes,"Cerámica, ¿Equitación temprana?",¿Jefaturas?,Regional,[No Evidencia],
Europa,Europa Oriental,Región Póntica (Estepa),Cultura Yamnaya (Fosa con Ocre) [KI],ca. 3300 - 2600 a.C.,"Pastoralismo Nómada (Ovino, Bovino, Caballo)","Campamentos móviles, Kurgánes",Kurgánes (tumbas en fosa simple),"Ruedas/Carros, ¿Metalurgia cobre/bronce?",¿Sociedad patriarcal/guerrera?,Amplia (Vínculo IE Expansión),[No Evidencia],
Europa,Europa Oriental,Región Póntica (Estepa),"Culturas Bronce Medio/Tardío (Catacumbas, Srubnaya)",ca. 2800 - 1200 a.C.,"Pastoralismo, Agricultura [Srubnaya], Metalurgia","Aldeas semi-subterráneas (Srubnaya), Kurgánes",Tumbas Catacumba / Tumbas Madera (Srubnaya),"Bronce, Carros (Srubnaya)",¿Jerarquía creciente?,"Estepas, Cáucaso, ¿Urales?",[No Evidencia],
Europa,Europa Oriental,Región Póntica (Estepa),Cimerios,ca. 1000 - s. VII a.C.,¿Pastoralismo Nómada?,¿Campamentos móviles?,¿Kurgánes?,Hierro temprano? Caballería?,¿Jefaturas guerreras?,N. Mar Negro -> Anatolia,[No Evidencia],
Europa,Europa Oriental,Región Póntica (Estepa),Escitas [KI],ca. s. VII - III a.C.,"Pastoralismo Nómada, Guerra, Tributos (Gr.), Comercio","Campamentos móviles, Centros fortificados?, Kurgánes reales",Kurgánes monumentales (ricos ajuares oro),"Equitación, Arco compuesto, Hierro, Arte animalista (oro)","Realeza, Aristocracia guerrera","Grecia, Persia, Asia Central",[No Evidencia Propia],
Europa,Europa Oriental,Región Póntica (Estepa),"Sármatas (Roxolanos, Alanos, Yáziges, etc.) [KI]",ca. s. III a.C. - s. IV d.C.,"Pastoralismo Nómada, Guerra","Campamentos móviles, ¿Asentamientos?",Kurgánes (menos ricos que escitas?),"Caballería pesada (cataphract?), Hierro",¿Confederaciones tribales?,"Roma, Cáucaso, Asia Central",[No Evidencia Propia],
Europa,Europa Oriental,Región Póntica (Costa),Colonias Griegas / Reino del Bósforo,desde ca. s. VII a.C. - 527+ d.C.,"Comercio (Grano, Esclavos, Pescado), Artesanía","Ciudades portuarias (Olbia, Panticapea, Quersoneso)","Urbanismo griego/helenístico, Templos, Teatros, Murallas","Alfabeto Griego, Moneda, Navegación",Polis -> Reino (clientelar Roma),"Mundo Griego/Romano, Escitas",Griego,
Europa,Europa Oriental,"Región Póntica (Ucrania, Rumanía)",Cultura Chernyakhov (Godos y otros),ca. s. II - V d.C.,"Agricultura (cereales), Ganadería, Artesanía (metalurgia)",Aldeas asentadas no fortificadas,"Viviendas, Cementerios birituales","Cerámica (torno), Metalurgia Hierro, ¿Vidrio?","Sociedad multiétnica, ¿Élites godas?","Báltico (Wielbark), Imp. Romano","¿Runas?, ¿Latín/Griego?",
Europa,Europa Oriental,Región Póntica (Estepa),Imperio Huno,ca. 370 - 469 d.C.,"Dominio militar, Tributos, Saqueo",¿Centros de poder temporales?,Tumbas ricas (ajuares),"Arco compuesto Huno, Caballería",Confederación militar (Atila),Vasto (Asia Central a Europa),[No Evidencia Propia],
Europa,Europa Oriental,Región Póntica (Estepa),Antigua Gran Bulgaria [KI],ca. 632 - 668 d.C.,¿Pastoralismo Nómada?,¿Confederación tribal?,¿Tumbas (Tesoro Malaya Pereshchepina)?,¿Metalurgia?,Kan Kubrat,"Bizancio, Jázaros",[No Evidencia Propia],
Europa,Europa Oriental,Región Póntica / Caspia / Cáucaso Norte,Kaganato Jázaro (Formación) [KI],desde ca. 650 d.C. - 750+ d.C.,"Control rutas comerciales, ¿Pastoralismo?, ¿Tributos?","Centros urbanos emergentes (Atil?), Fortalezas (Sarkel post.)","¿Fortalezas tempranas?, ¿Asentamientos?","¿Administración?, ¿Ejército multiétnico?",Kaganato (influencia túrquica),"Bizancio, Califato, Eslavos",¿Escritura túrquica/hebrea?,
Europa,Europa Septentrional,Escandinavia,"Culturas Mesolíticas (Maglemose, Kongemose, Ertebølle)",ca. 9000 - 4000 a.C.,Caza-Pesca-Recolección (Intensiva costera en Ertebølle),"Campamentos estacionales, Concheros (Ertebølle)",Viviendas ligeras,"Microlitos, Artefactos hueso/asta, Cerámica temprana (Ertebølle)",¿Compleja (Ertebølle)?,Regional / Báltico,Arte mobiliar,
Europa,Europa Septentrional,Escandinavia,Cultura TRB (Vasos Embudo),ca. 4000 - 2800 a.C.,Agricultura/Ganadería (introducción),"Aldeas, Recintos Dique Interrumpido (ej. Sarup), Megalitos","Megalitos (Dólmenes, Tumbas corredor), Recintos rituales","Cerámica TRB, Piedra Pulida, Agricultura, Rueda?","Creciente (Megalitos, Recintos)",Amplia (N/C Europa),[No Evidencia],
Europa,Europa Septentrional,Escandinavia,Cultura Cerámica Picada (Pitted Ware),ca. 3500 - 2300 a.C.,"Caza-Pesca-Recolección (Marítima, Focas)","Aldeas costeras, Campamentos estacionales, Alvastra (palafito)","Viviendas tipo cabaña, Tumbas planas (Gotland)","Cerámica picada distintiva, Lítica, Hueso/Asta",Poca evidencia / Igualitaria?,"Báltico, con Granjeros TRB",[No Evidencia],
Europa,Europa Septentrional,Escandinavia,Cultura Hachas de Combate (Cordada / Tumba Individual),ca. 2800 - 2300 a.C.,"¿Pastoralismo?, Agricultura limitada, ¿Guerra?","¿Asentamientos dispersos?, Tumbas individuales (planas)",Tumbas individuales,"Hachas de combate (piedra), Cerámica cordada, ¿Caballo domesticado?",¿Guerreros? ¿Patriarcal?,Amplia (CWC Network),[No Evidencia],
Europa,Europa Septentrional,Escandinavia,Edad del Bronce Nórdica,ca. 1700 - 500 a.C.,"Agricultura, Ganadería, **Comercio (Ámbar->Metal)**","Granjas (Casas largas), Centros regionales, ¿Fuertes?","Túmulos ricos (**Ataúdes Roble**), **Petroglifos** (Tanum?)","Bronce avanzado (lurs), Orfebrería, Navegación (barcos petroglifos)",Jefaturas/Élites (Movilidad),Amplio (Medit. vía Ámbar),Arte rupestre (narrativo/simb.),
Europa,Europa Septentrional,Escandinavia,Edad Hierro Prerromana/Romana (Tribus Germánicas),ca. 500 a.C. - 400 d.C.,"Agricultura, Ganadería, Hierro, Comercio","Aldeas, **Centros de Élite** (Gudme/Lundeborg), Cuerpos pantano","¿Casas largas?, ¿Puertos (Lundeborg)?","Hierro, Cerámica, **Importaciones Romanas**, ¿Runas tempranas?",Jefaturas/Élites (Gudme),Imperio Romano (Comercio),¿Runas?,
Europa,Europa Septentrional,Escandinavia,Período Vendel (Reinos Tempranos?),ca. 550 - 750+ d.C.,"Agricultura, Guerra, Comercio, Artesanía","Centros poder (Gamla Uppsala?), Granjas, **Entierros barco**","Salones (grandes casas largas), Tumbas barco (Vendel, Valsgärde)","Hierro avanzado, **Cascos** (Vendel), Arte animalista (Estilo Vendel), Navegación",Realeza/Aristocracia guerrera,"Mar del Norte, Báltico, Inglaterra",¿Runas?,
Europa,Europa Septentrional,Región Báltica Oriental,Culturas Neolíticas (Cerámica de Peines - Comb Ware),ca. 5300 - 2000 a.C. (?),Caza-Pesca-Recolección,"Aldeas semi-sedentarias?, Sitios costeros/lacustres","Viviendas, ¿Arte mobiliar?","Cerámica (peine/punteado), Lítica, Hueso/Asta",?,Amplio (NE Europa),Arte rupestre?,
Europa,Europa Septentrional,Región Báltica Oriental,Cult. Hachas Combate / Edad Bronce Temprana (Kiukainen),ca. 3200 - 1500 a.C.,"Agricultura/Ganadería limitada, Caza-Pesca, Comercio (Ámbar)","¿Asentamientos dispersos?, ¿Fortificados (Estonia)?","¿Túmulos?, ¿Fuertes (Asva)?","Hachas combate, Cerámica (Kiukainen), ¿Bronce tardío?",¿Élites (Cordada)?,"Escandinavia, C. Europa",[No Evidencia],
